"","AKT2","ERBB2","CCNE1"
"TCGA-D7-8579",NA,0,0
"TCGA-D7-A4YT",NA,0,0
"TCGA-D7-A4YU",NA,0,0
"TCGA-D7-A4YV",NA,0,0
"TCGA-D7-A4YX",NA,1,0
"TCGA-D7-A4YY",NA,0,0
"TCGA-D7-A4Z0",NA,0,0
"TCGA-D7-A6ET",NA,0,0
"TCGA-D7-A6EV",NA,0,0
"TCGA-D7-A6EX",NA,0,0
"TCGA-D7-A6EY",NA,0,0
"TCGA-D7-A6EZ",NA,0,0
"TCGA-D7-A6F0",NA,0,1
"TCGA-D7-A6F2",NA,0,0
"TCGA-D7-A747",NA,0,0
"TCGA-D7-A748",NA,0,0
"TCGA-D7-A74A",NA,0,0
"TCGA-D7-A74B",NA,0,0
"TCGA-EQ-5647",NA,0,0
"TCGA-EQ-8122",NA,1,0
"TCGA-EQ-A4SO",NA,0,0
"TCGA-F1-6177",NA,-1,0
"TCGA-F1-6874",NA,0,0
"TCGA-F1-6875",NA,0,0
"TCGA-F1-A448",NA,0,0
"TCGA-F1-A72C",NA,0,0
"TCGA-FP-7735",NA,0,0
"TCGA-FP-7829",NA,0,0
"TCGA-FP-7916",NA,0,0
"TCGA-FP-7998",NA,0,0
"TCGA-FP-8099",NA,0,0
"TCGA-FP-8209",NA,0,0
"TCGA-FP-8210",NA,0,0
"TCGA-FP-8211",NA,0,0
"TCGA-FP-8631",NA,0,0
"TCGA-FP-A4BE",NA,0,0
"TCGA-FP-A4BF",NA,0,0
"TCGA-FP-A8CX",NA,1,0
"TCGA-FP-A9TM",NA,0,-1
"TCGA-HF-7131",NA,0,0
"TCGA-HF-7132",NA,0,0
"TCGA-HF-7133",NA,0,0
"TCGA-HF-7134",NA,0,0
"TCGA-HF-7136",NA,0,0
"TCGA-HF-A5NB",NA,0,0
"TCGA-HJ-7597",NA,0,0
"TCGA-HU-8238",NA,0,0
"TCGA-HU-8243",NA,1,0
"TCGA-HU-8244",NA,0,0
"TCGA-HU-8245",NA,0,0
"TCGA-HU-8249",NA,0,0
"TCGA-HU-8602",NA,0,0
"TCGA-HU-8604",NA,0,0
"TCGA-HU-8608",NA,0,0
"TCGA-HU-8610",NA,0,0
"TCGA-HU-A4G2",NA,0,0
"TCGA-HU-A4G3",NA,0,0
"TCGA-HU-A4G6",NA,0,-1
"TCGA-HU-A4G8",NA,0,0
"TCGA-HU-A4G9",NA,0,0
"TCGA-HU-A4GC",NA,0,0
"TCGA-HU-A4GD",NA,0,0
"TCGA-HU-A4GF",NA,0,0
"TCGA-HU-A4GH",NA,1,0
"TCGA-HU-A4GJ",NA,0,0
"TCGA-HU-A4GN",NA,0,0
"TCGA-HU-A4GP",NA,0,0
"TCGA-HU-A4GQ",NA,0,0
"TCGA-HU-A4GT",NA,0,0
"TCGA-HU-A4GU",NA,0,0
"TCGA-HU-A4GX",NA,0,0
"TCGA-HU-A4GY",NA,0,0
"TCGA-HU-A4H0",NA,0,0
"TCGA-HU-A4H2",NA,0,0
"TCGA-HU-A4H3",NA,0,0
"TCGA-HU-A4H4",NA,0,0
"TCGA-HU-A4H5",NA,0,0
"TCGA-HU-A4H6",NA,0,0
"TCGA-HU-A4H8",NA,0,0
"TCGA-HU-A4HB",NA,0,0
"TCGA-HU-A4HD",NA,1,0
"TCGA-IN-7806",NA,0,0
"TCGA-IN-7808",NA,0,0
"TCGA-IN-8462",NA,0,0
"TCGA-IN-8663",NA,0,0
"TCGA-IN-A6RI",NA,0,1
"TCGA-IN-A6RJ",NA,0,0
"TCGA-IN-A6RL",NA,0,0
"TCGA-IN-A6RN",NA,0,0
"TCGA-IN-A6RO",NA,0,0
"TCGA-IN-A6RP",NA,0,0
"TCGA-IN-A6RR",NA,0,0
"TCGA-IN-A6RS",NA,1,0
"TCGA-IN-A7NR",NA,0,0
"TCGA-IN-A7NT",NA,0,0
"TCGA-IN-A7NU",NA,0,0
"TCGA-IN-AB1V",NA,0,0
"TCGA-IN-AB1X",NA,0,0
"TCGA-IP-7968",NA,0,0
"TCGA-KB-A6F5",NA,0,0
"TCGA-KB-A6F7",NA,0,0
"TCGA-KB-A93G",NA,0,0
"TCGA-KB-A93H",NA,0,0
"TCGA-KB-A93J",NA,0,0
"TCGA-MX-A5UG",NA,0,0
"TCGA-MX-A5UJ",NA,0,0
"TCGA-MX-A663",NA,0,0
"TCGA-MX-A666",NA,0,0
"TCGA-R5-A7O7",NA,0,0
"TCGA-R5-A7ZE",NA,1,0
"TCGA-R5-A7ZF",NA,0,0
"TCGA-R5-A7ZI",NA,0,0
"TCGA-R5-A7ZR",NA,0,0
"TCGA-R5-A804",NA,0,0
"TCGA-R5-A805",NA,0,0
"TCGA-RD-A7BS",NA,0,0
"TCGA-RD-A7BT",NA,0,0
"TCGA-RD-A7BW",NA,0,0
"TCGA-RD-A7C1",NA,0,0
"TCGA-RD-A8MV",NA,0,0
"TCGA-RD-A8MW",NA,0,0
"TCGA-RD-A8N0",NA,0,0
"TCGA-RD-A8N1",NA,0,0
"TCGA-RD-A8N2",NA,0,0
"TCGA-RD-A8N4",NA,0,0
"TCGA-RD-A8N5",NA,0,0
"TCGA-RD-A8N6",NA,0,0
"TCGA-RD-A8N9",NA,0,0
"TCGA-RD-A8NB",NA,0,0
"TCGA-SW-A7EA",NA,0,0
"TCGA-SW-A7EB",NA,0,0
"TCGA-VQ-A8DL",NA,0,0
"TCGA-VQ-A8DT",NA,0,0
"TCGA-VQ-A8DU",NA,0,0
"TCGA-VQ-A8DV",NA,0,0
"TCGA-VQ-A8DZ",NA,0,0
"TCGA-VQ-A8E0",NA,0,0
"TCGA-VQ-A8E2",NA,0,0
"TCGA-VQ-A8E3",NA,0,0
"TCGA-VQ-A8E7",NA,0,0
"TCGA-VQ-A8P2",NA,0,0
"TCGA-VQ-A8P3",NA,0,0
"TCGA-VQ-A8P5",NA,0,0
"TCGA-VQ-A8P8",NA,0,0
"TCGA-VQ-A8PB",NA,0,0
"TCGA-VQ-A8PC",NA,0,0
"TCGA-VQ-A8PD",NA,0,0
"TCGA-VQ-A8PE",NA,1,0
"TCGA-VQ-A8PF",NA,0,0
"TCGA-VQ-A8PH",NA,0,0
"TCGA-VQ-A8PJ",NA,1,0
"TCGA-VQ-A8PK",NA,0,0
"TCGA-VQ-A8PM",NA,0,0
"TCGA-VQ-A8PO",NA,0,0
"TCGA-VQ-A8PP",NA,0,0
"TCGA-VQ-A8PQ",NA,0,0
"TCGA-VQ-A8PS",NA,0,0
"TCGA-VQ-A8PT",NA,0,0
"TCGA-VQ-A8PU",NA,0,0
"TCGA-VQ-A8PX",NA,0,0
"TCGA-VQ-A8PY",NA,0,0
"TCGA-VQ-A8PZ",NA,0,0
"TCGA-VQ-A91A",NA,0,0
"TCGA-VQ-A91D",NA,0,0
"TCGA-VQ-A91E",NA,0,0
"TCGA-VQ-A91K",NA,0,0
"TCGA-VQ-A91N",NA,0,1
"TCGA-VQ-A91Q",NA,0,0
"TCGA-VQ-A91S",NA,1,0
"TCGA-VQ-A91U",NA,0,0
"TCGA-VQ-A91V",NA,0,0
"TCGA-VQ-A91W",NA,0,0
"TCGA-VQ-A91X",NA,1,0
"TCGA-VQ-A91Y",NA,0,0
"TCGA-VQ-A91Z",NA,0,0
"TCGA-VQ-A922",NA,0,0
"TCGA-VQ-A923",NA,0,0
"TCGA-VQ-A924",NA,0,0
"TCGA-VQ-A925",NA,0,0
"TCGA-VQ-A927",NA,0,0
"TCGA-VQ-A928",NA,0,0
"TCGA-VQ-A92D",NA,0,0
"TCGA-VQ-A94O",NA,0,0
"TCGA-VQ-A94P",NA,0,0
"TCGA-VQ-A94R",NA,0,0
"TCGA-VQ-A94T",NA,0,-1
"TCGA-VQ-A94U",NA,0,0
"TCGA-VQ-AA64",NA,0,0
"TCGA-VQ-AA68",NA,0,0
"TCGA-VQ-AA69",NA,0,0
"TCGA-VQ-AA6A",NA,0,0
"TCGA-VQ-AA6B",NA,0,0
"TCGA-VQ-AA6D",NA,1,0
"TCGA-VQ-AA6F",NA,0,0
"TCGA-VQ-AA6G",NA,0,0
"TCGA-VQ-AA6I",NA,0,0
"TCGA-VQ-AA6J",NA,0,0
"TCGA-VQ-AA6K",NA,0,0
"TCGA-ZA-A8F6",NA,0,0
"TCGA-ZQ-A9CR",NA,0,0
"TCGA-2V-A95S",NA,NA,0
"TCGA-2Y-A9GS",NA,NA,0
"TCGA-2Y-A9GT",NA,NA,0
"TCGA-2Y-A9GU",NA,NA,0
"TCGA-2Y-A9GV",NA,NA,0
"TCGA-2Y-A9GW",NA,NA,0
"TCGA-2Y-A9GX",NA,NA,0
"TCGA-2Y-A9GY",NA,NA,0
"TCGA-2Y-A9GZ",NA,NA,0
"TCGA-2Y-A9H0",NA,NA,0
"TCGA-2Y-A9H1",NA,NA,0
"TCGA-2Y-A9H2",NA,NA,0
"TCGA-2Y-A9H3",NA,NA,0
"TCGA-2Y-A9H4",NA,NA,0
"TCGA-2Y-A9H5",NA,NA,0
