"","AEW541","Nilotinib","X17.AAG","PHA.665752","Lapatinib","Nutlin.3","AZD0530","PF2341066","L.685458","ZD.6474","Panobinostat","Sorafenib","Irinotecan","Topotecan","LBW242","PD.0325901","PD.0332991","Paclitaxel","AZD6244","PLX4720","RAF265","TAE684","TKI258","Erlotinib"
"BT549",1.0007,0.641,4.799,0.1106,1.0001,0.2901,0.8363,0.533,0.1532,0.9727,3.7698,0.5889,3.4086,4.1961,1.6262,0.1503,0,5.817,0.2601,0.4886,2.1067,0.7964,1.0845,0.2467
"CAS1",0.6584,0.207,2.1995,0,0.02975,0.01784,0.6927,0.6175,0.01432,0.2382,3.6763,0.06255,2.2248,1.728,0.07697,0.586,0.1407,4.0347,0.103,0.06697,0.7917,1.0183,0.3645,0.08698
"COLO678",1.0687,0.2982,4.2419,0.2274,1.1779,0.827,0.8386,0.4238,0.4075,1.8722,3.3188,0.8591,1.9174,1.8377,0.5952,3.1372,0.4865,2.7143,1.8733,0.4074,1.3644,1.4769,0.6609,1.1618
"CAMA1",0.4276,0.4371,3.1786,0.3651,0.146,0.07149,0.1606,0.1829,0.5617,0.3685,5.0138,0.1544,3.1566,1.0891,0.7152,0.238,0.2178,4.3906,0.06316,0.07136,0.8191,0.1146,0.494,0.003827
"CORL105",0.4341,NA,1.9816,0.225,0.549,0.3313,0.7688,0.2549,0.1163,1.1032,2.7717,0,NA,1.1709,0.2072,1.8902,NA,2.6619,1.1293,0.3126,0.9254,0.1953,0.5431,1.1257
"DU145",0.9597,0.07206,4.4163,0.2331,0.7691,0.02354,1.391,0.6584,0.08201,1.5505,4.9332,0.3253,3.5571,2.9817,0.2907,1.3267,0.05875,6.0946,0.864,0.2992,2.4128,1.4144,1.2529,0.9805
"EN",0.6604,0.1392,2.6637,0.08131,0.4058,0.146,0.6256,0.4521,0.02041,0.4015,3.5731,0.3369,0.9262,0.741,0,0.557,0.03136,4.0051,0.2629,0,0.5043,0.698,0.4259,0
"BFTC909",0.898,0.00241,3.6219,0.1644,0.1757,0.01861,0.2464,0.4398,0.1492,0.8398,4.0883,NA,NA,3.1375,0.4923,0.8653,0.2396,5.1868,0.3552,0.1107,0.6164,0.6489,1.2289,0.04175
"CALU6",1.511,NA,3.0328,0.4372,0.1923,0.106,1.5736,0.7092,NA,0.7187,4.0829,0.8441,NA,3.0781,1.0712,3.2483,NA,6.5055,1.5986,1.0378,NA,2.1373,0.79,0.4963
"CORL23",0.7416,0.1142,2.3346,0.02301,0.1227,0.08275,0.2272,0.3596,0,0.3283,4.0549,0.8032,2.9901,3.0968,0.2085,0.5205,0,5.2187,0.02408,0,1.2001,0.6334,0.3707,0.03604
"DAOY",0.7917,0.2486,3.6005,0.02801,0.05,0.2397,0.2739,0.2733,0,0.6998,4.8071,0.3994,3.9651,3.9107,0.6428,0.01505,0.01077,5.9369,0.3316,0.2072,0.9778,0.7283,0.5918,0.2287
"C2BBE1",1.3449,0.7346,2.2767,0,1.4312,0.4036,2.0615,0.7279,0.00776,1.9499,4.6721,0.2239,NA,1.3702,0.5307,2.6013,0.7911,3.4819,1.6091,0.4087,1.1062,1.4705,0.527,1.128
"DETROIT562",0.3942,0.5156,2.8606,0.8825,0.432,0.6081,1.1993,0.1087,0.1327,1.5655,3.7515,0.08576,NA,1.4964,0.8633,1.2996,0.9828,5.6996,1.0097,0.1153,0.6876,0.5406,0.2191,0.8498
"A549",1.6406,0.6661,2.9712,0.08954,0.6707,0.4832,0.4962,0.4691,0,0.4353,3.6981,0.6549,1.7063,1.8717,0.2759,3.1106,0.2405,4.9753,1.8637,0,1.4266,1.3264,1.2616,0.4884
"EFM19",0.7541,0.3452,3.5096,0.7263,0.7549,0.3282,1.2611,0.6233,0.2789,0.9214,4.9716,0.3749,2.2524,1.9984,2.7017,0.09919,0.6936,5.55,0.0802,0,1.4292,1.2299,0.7954,0.09867
"A172",0.3615,0,2.4662,0.08666,0,0.2102,0.2508,0.4959,0.03331,1.0122,4.0075,0.2818,2.5153,2.649,0.09733,0.5436,0,4.6157,0.2375,0.01494,1.3704,1.4006,1.1598,0.08293
"A673",1.599,NA,3.6758,0.1048,0.005817,0.5932,0.9435,1.6086,0.2549,1.4081,4.71,0.3025,NA,5.4861,1.0647,0.6163,0.2491,7.0239,1.3769,0.7895,1.9556,1.734,0.7322,0.1029
"EFO27",0.2644,0.09143,2.7526,0,0.9129,0,1.3038,0.1799,0,NA,4.9402,0.326,2.605,2.1093,0.2594,0.9157,0,3.8972,0.3168,NA,2.0174,0.4506,0.7044,0.8427
"SUPT1",0.8588,0.6136,2.5547,0.1771,0.2321,0.4434,0.5452,0.2455,0.01857,1.0916,4.1072,0.05822,NA,4.3655,0.5272,0.4635,0.4662,5.2309,0.02767,0.3396,0.2498,0.6526,0.1683,0.3717
"KP4",1.0599,0.3059,4.4144,0.6425,0.212,0,0.4543,1.9426,0.7225,0.7623,3.9219,0.691,3.2093,2.3036,0.1999,1.7523,0.5408,6.5694,1.0904,0.1093,1.5502,1.1314,0.9038,0.21
"HDMYZ",1.389,NA,3.7408,0.6999,0.6625,0.3302,0.5385,0.8361,NA,0.3995,4.3193,0.9484,NA,5.7676,0.4014,4.6897,NA,6.7594,2.7557,0.7874,NA,1.4183,1.2701,0.8709
"SKES1",1.9883,0.6998,2.7715,0.1814,0.3363,0.21,1.0395,1.0904,0.9015,1.3934,5.2424,0.5736,5.3432,5.0616,0.3386,0,0.5761,6.7784,0.7745,1.0572,2.7301,2.3471,1.6445,0.8541
"KYM1",1.5614,NA,4.1346,2.4325,0.2819,0.7415,0.9075,0.6022,0.1716,0.93,5.6512,0.6532,NA,3.4304,5.445,1.6464,NA,6.895,1.0501,0.1605,NA,1.0759,1.3819,0.2845
"HS766T",0.3245,0.2082,3.2746,0,0.3614,0.6257,1.7451,0.846,0.1058,1.3798,3.5238,0.2793,0.9451,0.9675,0.006976,3.6998,0.5099,3.1435,2.7227,0.09305,1.8703,1.623,0.6438,0.6797
"HCC827",0.8091,NA,3.074,0.4763,0.956,0,2.8997,0.3058,0.7494,3.1181,4.0611,0.5981,NA,1.736,0.4814,0.7286,NA,4.5217,0,0.3699,NA,1.5033,0.1211,4.4132
"SUIT2",0.9113,0.05218,2.3478,0.2108,0.1841,0.2685,1.011,0.2423,0.05559,0.7193,3.1656,0.6344,3.4227,3.5594,0.2473,3.014,0.3509,3.2842,2.0782,0.2664,1.8839,0.9789,0.9148,0.9399
"KNS42",1.268,0.3225,2.789,0.6865,0.216,0.3687,0.6949,0.4066,0.2855,1.3425,3.6298,0.3099,2.4491,2.0429,1.0396,0.5834,0.5809,5.2136,0.9356,0.5032,1.378,1.4364,0.7234,0.0282
"HT1080",0.6785,NA,4.0847,0.2556,0.2133,0.4817,0.1531,0.8244,0.1955,0.6356,4.6286,0.1179,NA,3.3672,0.9264,2.4808,0.03595,6.7248,1.8734,0.07934,1.7451,0.5672,0.5673,0.02918
"IPC298",0.9805,0.2386,3.5373,0.1498,0.2847,0.01412,0.04946,0.1298,0.1943,0.7882,4.117,0.6293,3.1056,2.6856,0.1968,5.61,0.09373,5.3262,3.8036,0.5122,3.249,0.4449,1.4256,0.5104
"MDAMB453",1.1017,0.3012,5.5367,0.04652,1.582,0,0.1335,0.2967,0.1205,0.6659,5.7776,0.8147,3.9137,3.126,0.3383,0.9213,0.2768,5.5396,0,0.1361,1.3141,1.0628,0.5439,0.1473
"SKMES1",1.921,NA,4.0054,1.9638,2.0259,1.4989,2.5709,1.3051,NA,2.0888,4.3314,0.5808,NA,3.7728,2.5655,2.3037,NA,4.9906,0.8823,1.0515,NA,2.4285,1.6466,2.3791
"KP1N",0.6898,0.2514,3.1879,0.06098,0.4018,0.1829,0.6351,0.3969,0.1018,1.2652,2.9291,1.2839,2.1545,1.8734,0.3655,0.4674,0.06754,5.3362,0.602,0.3499,0.9599,1.0817,0.474,0.02276
"HT1376",0.9099,0.2472,3.2082,0.4499,1.0678,0.6192,1.657,0.765,0.04978,1.6519,3.9747,0.3819,1.5047,0.1703,0.5259,1.0196,0.1599,3.9561,0.7726,0.5576,2.1599,1.6853,1.4078,1.4249
"HPAFII",1.3463,NA,3.803,1.7663,1.3411,1.7918,1.8783,1.0399,1.3888,1.4523,3.7254,0.4414,NA,3.3008,1.1707,3.016,NA,4.9936,2.0653,0.2772,0.9446,1.1629,0.8712,0.965
"KNS62",0.5156,NA,3.6717,0.8163,0.2334,0.03943,0.2138,0.208,0.3271,1.0744,4.2741,0.0401,NA,2.5993,0.9201,1.9951,NA,4.9409,1.1768,0.2596,0.5655,0.127,0.3008,0.1777
"H4",0.4519,0.5618,4.1075,0.5117,0.05188,1.2492,0.6725,1.5929,0.06108,1.1921,4.3444,0.1642,NA,2.6745,0.2157,0.01881,0.7428,5.2411,0.2843,0.6343,1.4272,1.8596,1.4453,0.2662
"SKMM2",1.0993,0.5101,3.3913,0.6933,1.2505,0.1509,1.6679,0.6414,0.1733,1.3733,4.3589,0.9437,1.9241,2.4981,0.5493,2.1132,0.5401,6.3364,1.3523,0.3525,2.9091,0.92,1.0196,1.4542
"JHH6",0.05775,0.02888,2.2829,0,0,0.1078,0.3986,0.1223,0.08491,1.0895,2.822,0.02019,0.5917,0.1861,0.0335,0.1574,0.03619,2.9703,0,0.05661,0.3966,0.03916,0.1206,0.01655
"IM95",1.8968,2,5.2425,2.4817,1.3837,0.4315,1.59,1.8964,2.1175,2.539,5.6788,0.4556,NA,2.9373,1.4143,3.5032,2.7932,6.4774,4.5529,1.0346,1.4441,0.4255,1.7889,2.1284
"TOV112D",0.4272,0.4922,2.6725,0.3554,0.4868,0.6416,1.8421,0.6993,0.2808,1.1847,4.3584,0.9695,3.8142,3.9431,0.1064,0.8026,0.7611,6.2674,0.09705,0.05898,1.6093,1.4665,1.1542,0.8777
"KARPAS422",1.432,0.1021,3.0913,1.0764,0.454,0.3927,0.5777,0.719,1.226,0.03643,5.1266,0.4391,3.6338,4.1392,0.456,0.8127,0.4619,2.2649,0.7856,0,2.5356,1.9474,0.7243,0.01967
"HUPT4",2.0752,1.2267,4.9176,0.7677,1.1058,1.0421,2.4276,1.6044,0.618,2.3812,5.0741,0.15,NA,4.3506,1.409,4.3231,1.2859,5.8226,2.1476,0,2.2658,2.8087,0.9989,1.4576
"JHH7",1.6698,NA,4.2024,1.4814,0.9747,0.8485,0.6958,0.7837,NA,1.6495,4.4785,1.0576,NA,3.2097,0.9234,2.2898,NA,6.0801,1.5053,0.8328,NA,2.3994,1.8163,0.6282
"SW1573",1.3222,NA,2.0416,0.4133,0.3101,0.4564,0.6893,0.6794,0.2926,0.5897,3.9544,0.3386,NA,4.6127,0.517,1.3967,NA,3.8372,0.9396,0.4281,NA,1.4503,1.0356,0.3446
"SKMEL30",0.4842,0.2941,1.6956,0.23,0.027,0.04694,0,0.1049,0,0.1765,3.2337,0.4895,1.6605,1.2816,0.01642,4.6005,0.01621,3.9556,3.251,0.0465,1.63,0.267,0.1669,0
