"","AEW541","Nilotinib","X17.AAG","PHA.665752","Lapatinib","Nutlin.3","AZD0530","PF2341066","L.685458","ZD.6474","Panobinostat","Sorafenib","Irinotecan","Topotecan","LBW242","PD.0325901","PD.0332991","Paclitaxel","AZD6244","PLX4720","RAF265","TAE684","TKI258","Erlotinib"
"NCIH520",0.535,0.1169,2.9933,0,0,0.421,0.7849,0.2855,0.03915,0.832,4.0233,0.4904,3.2016,2.1326,0.6113,0.1691,0.7981,5.9668,0.1026,0.07222,1.3047,0.8424,1.2327,0
"NCIH1694",0.8491,0.308,1.4558,0.1112,0.5385,0.2616,0.3515,0.3931,0.6287,0.7705,5.0687,0.1786,4.3177,4.8522,1.0089,0.3607,0.1648,4.6718,0.333,0.1221,1.1519,0.1368,0.4787,0.1312
"OCUM1",0.5085,0.3957,4.7362,0.2974,0.3383,0.5333,0.3956,0.9729,0,0.4953,5.165,0.1405,3.2961,3.6049,0.501,5.29,0.6016,5.3406,4.2032,0.1104,1.3903,1.467,0.6555,0.01577
"SNU398",0.5915,NA,2.5308,0.5687,0.2801,0.8702,0.6213,0.9383,1.342,0.7031,4.3922,0.7151,NA,3.618,1.5732,2.4054,NA,6.988,1.4041,0.7115,1.397,1.9352,1.0815,0.01824
"SW48",2.1955,0.3872,5.8824,0.131,2.7696,1.0407,1.6492,0.8926,0.9012,2.9371,4.6508,0.5355,4.33,4.0017,0.4682,5.322,1.7552,6.6415,4.7855,0,1.1192,3.1949,1.5286,2.558
"SUDHL4",1.7337,1.4978,3.7258,2.5702,1.2882,1.9194,3.6068,2.013,1.3882,2.2708,5.8489,1.8441,4.9707,5.315,1.8018,0.6981,2.4962,6.9533,1.7324,1.988,1.5231,2.3917,1.9076,1.0076
"NCIH23",1.3268,0.6261,4.2066,0.3608,0.4302,0.8491,0.7626,1.136,0.6998,1.2023,4.3584,0.3285,NA,3.0649,2.0322,2.1937,0.2654,6.5769,1.0566,1.1365,2.016,1.688,1.5173,0
"NCIH522",0.6383,0.4237,3.5106,0.1305,0.7621,0.4385,0.8378,0.5612,0.08763,0.9695,4.0878,0.5832,2.9178,1.9146,0.5374,0.8364,0.1026,5.4331,0.3785,0,1.1235,1.397,0.6619,0.4055
"NCIH647",0.3716,0.5991,3.1829,0.5762,0.2396,0.3702,1.452,0,0.4379,1.1171,2.9629,0.8969,NA,1.1787,0.6297,0.8152,0.5271,4.6377,0.3915,0.3382,0.23,0.1524,0.1195,0.2912
"NCIH1975",1.0222,0.07336,3.3781,0.1393,0.3094,0.1706,0.5187,0.2606,0.2325,0.2174,3.3759,0.1468,1.7151,1.6636,0.2285,1.2184,0,5.9467,0.4696,0.06596,1.6132,1.3584,0.7472,0.4621
